2,32,1913,19,3,33,1916,21,10,25,1913,24,4,22,1913,19,4
5,25,1914,21,2,25,1915,23,6,21,1914,30,4,22,1914,21,4
2,19,1912,22,2,21,1915,21,10,30,1913,21,3,16,1914,23,4
4,29,1913,22,4,28,1917,22,12,25,1914,26,5,25,1914,23,4
2,24,1913,22,3,20,1920,25,10,28,1914,25,5,28,1914,22,4
5,25,1912,20,3,17,1917,29,9,23,1914,23,2,22,1913,22,4
2,21,1912,24,3,30,1914,25,8,24,1913,24,5,21,1912,21,4
3,23,1912,23,2,19,1915,26,9,25,1912,22,3,22,1913,25,4
4,27,1913,23,2,22,1913,26,8,26,1913,26,3,20,1912,22,4
2,19,1912,22,2,21,1913,23,9,24,1914,26,3,22,1912,22,4
6,29,1913,17,2,25,1914,22,10,25,1913,25,4,25,1913,20,4
2,24,1913,20,2,26,1913,20,10,26,1914,25,3,21,1913,22,4
3,19,1912,20,2,26,1913,21,11,25,1913,24,4,21,1912,19,4
2,14,1912,23,1,13,1912,22,7,23,1913,25,3,20,1911,19,4
4,19,1912,19,2,26,1911,24,12,21,1912,29,4,21,1912,24,4
2,25,1912,18,2,24,1913,25,10,22,1912,22,3,25,1912,23,4
2,27,1913,19,3,24,1913,22,10,24,1913,27,4,24,1911,22,4
4,26,1912,24,2,24,1913,20,10,22,1913,23,3,28,1913,25,4
2,25,1913,21,1,17,1913,20,8,17,1910,28,4,28,1914,22,4
3,27,1914,19,2,22,1913,26,7,24,1913,28,3,25,1913,23,4
3,17,1912,21,2,23,1912,16,10,22,1912,25,4,26,1915,25,4
5,28,1913,21,3,27,1913,26,11,26,1912,27,4,26,1913,19,4
2,17,1910,25,2,25,1913,21,9,25,1915,28,3,19,1912,13,4
5,31,1913,23,2,23,1912,21,8,19,1910,25,4,23,1911,19,4
2,24,1914,20,2,14,1912,21,10,26,1912,26,3,21,1912,24,4
3,23,1913,25,2,22,1913,22,8,26,1911,28,2,16,1910,21,4
4,29,1913,20,2,15,1910,20,8,25,1912,27,5,24,1912,21,4
3,28,1913,19,2,27,1912,23,8,25,1910,25,4,23,1912,24,4
5,24,1911,22,3,19,1910,26,8,24,1910,25,3,22,1913,23,4
2,26,1911,23,2,23,1913,24,11,21,1913,25,5,21,1914,20,4
4,25,1910,18,3,24,1912,22,10,23,1912,24,4,18,1912,20,4
2,19,1910,24,3,20,1912,21,8,23,1910,24,4,22,1914,24,4
3,23,1911,25,2,19,1912,21,9,25,1913,24,3,25,1912,23,4
2,22,1912,19,3,23,1913,22,10,23,1911,25,3,17,1912,20,4
6,28,1913,24,2,17,1914,21,9,22,1910,26,5,30,1914,20,4
2,12,1912,21,2,21,1915,23,9,26,1911,21,3,23,1913,23,4
5,31,1913,21,2,23,1912,21,10,20,1908,26,3,24,1912,21,4
2,25,1914,20,3,22,1912,23,13,27,1910,26,4,25,1913,20,4
3,25,1913,24,2,23,1914,24,10,25,1913,24,3,17,1912,19,4
3,19,1912,23,2,21,1914,21,10,26,1912,27,4,19,1912,16,4
4,27,1913,28,2,21,1913,23,11,23,1910,23,3,22,1913,19,4
2,27,1911,27,3,17,1910,24,8,23,1910,25,4,22,1912,20,4
4,27,1912,22,3,14,1911,24,16,22,1908,31,3,22,1912,19,4
2,24,1913,24,3,20,1911,19,8,23,1911,29,6,25,1914,18,4
3,27,1913,21,2,18,1914,23,9,21,1911,27,3,22,1911,21,4
4,25,1914,23,2,19,1913,25,10,22,1911,25,4,21,1912,22,4
3,23,1914,22,1,24,1913,22,12,27,1910,28,4,26,1913,23,4
3,25,1913,24,2,18,1912,21,11,23,1914,27,3,18,1912,19,4
3,28,1914,23,3,26,1913,21,9,25,1912,22,4,23,1912,23,4
2,16,1913,19,2,22,1915,23,8,22,1913,24,4,21,1913,16,4
4,27,1915,22,3,22,1915,29,9,25,1911,26,3,17,1912,20,4
2,15,1912,22,2,20,1913,26,11,27,1914,24,4,20,1914,20,4
5,28,1914,24,3,28,1913,23,10,26,1912,25,4,31,1915,19,4
3,24,1914,20,2,19,1912,20,16,23,1913,27,3,26,1911,20,4
3,23,1913,20,2,14,1912,23,8,23,1910,26,4,24,1911,20,4
5,30,1915,24,1,22,1913,22,13,19,1914,26,3,20,1912,20,4
2,21,1913,20,2,24,1913,21,11,22,1910,24,4,25,1912,20,4
4,27,1916,17,2,23,1913,26,11,21,1912,23,4,24,1912,20,4
2,21,1914,21,1,25,1913,23,10,27,1914,28,5,26,1912,18,4
2,25,1916,23,1,16,1912,23,12,26,1912,26,3,24,1912,20,4
3,29,1915,22,2,17,1911,16,11,26,1913,30,4,19,1912,20,4
2,29,1915,18,2,22,1912,26,10,21,1909,26,4,22,1911,19,4
3,23,1914,21,2,25,1913,21,10,24,1911,24,4,21,1912,20,4
4,25,1914,23,2,14,1912,22,8,24,1911,26,4,22,1911,17,4
3,18,1914,22,3,24,1913,25,9,23,1913,25,4,21,1911,22,4
4,29,1913,22,3,22,1911,23,9,29,1912,25,4,22,1912,19,4
2,22,1913,21,2,18,1912,21,10,24,1911,27,4,24,1911,17,4
5,27,1915,19,1,15,1912,21,9,24,1912,29,4,18,1909,19,4
3,21,1919,18,2,21,1914,21,10,25,1913,22,3,18,1909,22,4
3,25,1921,23,3,24,1914,20,10,21,1912,27,5,24,1911,23,4
3,24,1921,19,2,22,1913,23,10,24,1913,22,5,25,1913,20,4
4,19,1921,20,2,13,1912,21,11,26,1914,26,4,20,1912,22,4
2,18,1918,21,2,20,1912,22,10,24,1915,25,3,23,1912,21,4
2,27,1917,20,2,16,1914,23,7,25,1912,24,4,24,1913,22,4
4,23,1918,22,2,23,1915,23,9,17,1911,27,4,25,1913,18,4
4,22,1917,18,2,22,1915,24,8,23,1911,25,3,19,1911,24,4
2,19,1917,22,2,23,1916,21,9,19,1911,22,5,25,1913,23,4
5,27,1916,17,2,22,1915,26,11,24,1912,28,3,19,1912,23,4
3,23,1911,20,2,27,1912,26,8,19,1911,27,4,24,1913,23,4
2,17,1910,22,2,28,1914,21,9,27,1914,23,3,19,1914,20,4
5,25,1909,22,2,20,1914,25,8,25,1912,27,4,24,1914,20,4
