7,27,1915,25,2,15,1917,23,15,26,1917,27,10,27,1919,21,1
8,30,1918,23,1,16,1917,21,16,28,1916,21,8,29,1916,24,1
6,24,1915,26,1,25,1918,24,15,23,1920,28,7,23,1918,23,1
6,27,1917,22,1,22,1918,20,15,19,1915,27,9,25,1918,20,1
7,27,1917,22,1,26,1918,16,15,22,1913,21,9,25,1915,27,1
7,24,1917,24,1,20,1918,18,18,23,1918,25,11,27,1918,26,1
6,27,1918,22,1,14,1918,22,15,24,1915,21,9,23,1917,20,1
5,23,1914,20,1,14,1917,21,14,24,1916,26,7,23,1917,23,1
6,27,1917,21,1,21,1918,20,15,24,1914,23,8,27,1916,21,1
8,29,1918,26,1,17,1917,22,20,22,1918,26,9,29,1917,24,1
7,27,1916,25,1,19,1918,20,18,22,1917,26,9,26,1918,23,1
5,26,1916,24,1,19,1917,20,17,27,1916,25,9,22,1916,28,1
5,27,1917,24,1,31,1918,21,13,21,1912,24,8,23,1916,25,1
6,23,1916,22,1,13,1917,22,15,21,1914,23,8,22,1917,26,1
5,21,1916,23,1,23,1918,19,18,21,1915,24,6,22,1916,21,1
6,22,1916,22,1,27,1918,20,16,24,1916,27,8,26,1916,21,1
5,22,1916,23,2,21,1918,22,12,20,1915,23,12,26,1917,22,1
8,28,1916,19,1,14,1917,22,14,27,1916,27,8,23,1917,23,1
7,30,1917,24,1,15,1917,20,15,26,1919,24,9,24,1918,21,1
8,26,1915,21,1,13,1917,21,12,27,1917,27,9,23,1916,20,1
6,18,1913,25,1,22,1918,21,17,25,1917,26,12,30,1918,20,1
9,22,1916,28,1,15,1917,25,17,24,1917,26,10,24,1919,23,1
10,23,1915,30,1,19,1917,22,20,29,1916,22,9,24,1917,21,1
7,20,1917,25,1,19,1917,24,12,20,1914,23,9,22,1916,24,1
8,20,1915,23,1,23,1916,20,13,24,1918,24,19,24,1914,27,1
6,30,1918,19,1,15,1917,18,9,25,1915,27,13,26,1919,25,1
4,22,1916,23,1,18,1918,19,14,25,1916,26,9,21,1914,25,1
6,28,1918,26,2,18,1918,22,14,24,1917,23,10,23,1915,28,1
6,26,1918,21,1,20,1919,20,16,28,1917,25,15,26,1915,21,1
6,22,1919,25,1,19,1918,21,15,19,1915,23,9,20,1916,26,1
6,24,1919,28,1,23,1917,19,16,20,1912,25,10,23,1916,26,1
10,26,1918,28,1,27,1917,23,9,27,1917,23,8,29,1919,24,1
8,20,1916,20,1,16,1916,18,18,23,1917,26,12,22,1917,23,1
9,26,1915,26,1,25,1917,24,14,30,1922,29,15,27,1920,25,1
9,22,1915,26,1,21,1917,23,13,25,1916,23,11,28,1918,20,1
7,26,1916,22,1,16,1917,21,12,22,1918,24,8,23,1916,19,1
