1,13,1915,18,1,14,1914,21,8,25,1912,23,1,12,1914,15,0
1,20,1913,23,2,24,1914,21,6,14,1911,26,1,18,1914,20,0
2,23,1913,22,1,21,1914,24,9,24,1911,22,1,13,1914,21,0
2,26,1913,24,1,18,1914,24,7,21,1911,28,2,17,1914,21,0
1,21,1913,21,1,24,1914,24,7,25,1914,24,2,19,1914,17,0
1,18,1913,23,1,15,1914,21,6,24,1914,28,2,13,1914,22,0
1,24,1914,24,2,25,1915,22,11,27,1913,23,2,19,1914,20,0
1,17,1914,19,2,22,1915,23,7,27,1913,21,2,18,1913,19,0
1,19,1914,21,1,25,1915,20,12,28,1913,25,2,21,1913,22,0
2,18,1914,22,1,27,1915,20,4,24,1912,20,2,20,1913,19,0
2,25,1913,19,1,13,1914,24,8,21,1912,28,2,20,1913,22,0
2,21,1913,21,1,17,1914,20,6,28,1914,21,1,13,1914,20,0
2,24,1913,21,1,17,1913,21,7,23,1914,22,2,17,1913,21,0
2,24,1913,21,1,18,1914,21,9,28,1913,23,1,21,1914,18,0
2,20,1913,23,1,20,1914,21,7,25,1914,25,2,25,1914,19,0
1,15,1912,16,1,21,1914,23,11,27,1915,20,2,24,1914,19,0
2,15,1912,23,1,23,1914,22,4,23,1914,21,1,21,1914,20,0
2,24,1913,22,1,18,1914,21,9,27,1916,27,2,18,1914,21,0
2,20,1913,20,1,18,1914,19,8,26,1914,26,2,19,1913,21,0
1,18,1913,20,2,18,1914,24,9,25,1915,25,2,17,1913,20,0
1,21,1914,20,1,28,1915,21,6,21,1915,26,1,21,1914,19,0
1,16,1913,21,1,18,1914,21,6,24,1914,24,1,19,1914,20,0
2,17,1914,22,1,17,1914,21,6,29,1915,29,2,16,1913,21,0
1,22,1914,17,1,23,1914,22,10,28,1916,24,2,18,1914,23,0
1,23,1914,20,2,24,1914,19,2,18,1916,22,1,21,1914,20,0
1,16,1914,21,1,23,1914,18,10,28,1916,20,2,19,1914,22,0
1,13,1914,19,1,21,1914,24,9,29,1917,24,2,16,1913,23,0
1,11,1914,18,1,28,1914,22,10,27,1918,26,2,17,1913,23,0
1,21,1914,21,2,23,1914,26,4,21,1914,20,2,23,1914,21,0
1,18,1914,22,1,21,1915,22,10,27,1917,23,2,17,1913,19,0
1,17,1913,18,2,15,1914,20,6,28,1918,23,1,24,1914,21,0
1,22,1914,21,2,21,1914,25,10,22,1917,26,2,20,1914,23,0
2,21,1913,20,1,18,1914,18,4,25,1915,30,1,20,1914,18,0
1,21,1914,23,1,21,1914,25,10,31,1916,20,2,19,1913,22,0
1,17,1914,19,1,18,1914,23,5,24,1916,23,1,23,1913,19,0
1,17,1913,25,1,15,1914,21,10,26,1919,24,2,21,1914,20,0
2,23,1913,23,1,14,1914,24,5,19,1915,21,1,17,1914,19,0
2,25,1913,25,1,12,1914,24,11,34,1918,21,1,19,1914,23,0
1,11,1912,23,1,15,1914,17,6,24,1919,23,2,18,1914,20,0
2,24,1913,24,1,18,1914,20,8,29,1919,22,2,16,1914,18,0
2,24,1913,21,1,16,1914,22,7,25,1917,26,2,26,1913,26,0
1,17,1913,22,2,21,1914,19,8,26,1917,24,2,25,1915,18,0
1,23,1914,21,1,12,1914,22,5,26,1916,23,2,18,1915,18,0
2,25,1914,21,1,17,1914,22,7,27,1918,20,1,16,1916,19,0
1,17,1913,23,1,24,1913,24,7,21,1918,25,2,16,1915,19,0
1,21,1913,22,2,16,1914,20,8,28,1922,24,2,22,1914,23,0
2,22,1911,21,1,20,1915,23,7,23,1921,23,2,17,1913,18,0
2,18,1913,20,2,22,1916,25,8,32,1921,22,1,21,1913,23,0
2,13,1914,19,1,21,1915,23,7,25,1919,28,1,21,1913,17,0
2,25,1915,24,1,23,1915,23,8,28,1920,20,2,22,1913,23,0
1,19,1914,19,1,24,1914,20,7,29,1920,22,2,18,1914,17,0
1,19,1913,19,2,20,1913,24,8,22,1921,25,1,17,1914,18,0
1,23,1913,21,1,17,1913,22,7,18,1920,23,2,19,1914,21,0
2,22,1912,23,1,19,1913,20,9,26,1922,26,2,31,1915,19,0
1,18,1912,25,1,18,1913,22,7,28,1921,26,1,14,1914,18,0
1,13,1912,17,1,20,1914,20,7,22,1923,25,1,18,1914,22,0
2,15,1912,22,1,14,1914,19,6,25,1917,22,2,20,1913,22,0
2,22,1913,21,1,15,1914,23,9,32,1920,24,2,21,1914,22,0
2,20,1914,22,1,13,1914,19,8,29,1915,24,2,21,1913,23,0
2,29,1915,22,1,13,1914,18,6,23,1908,26,2,18,1913,22,0
1,12,1914,22,1,10,1914,23,6,24,1901,23,1,26,1913,19,0
1,22,1915,23,1,22,1914,21,8,26,1902,24,1,23,1913,24,0
2,20,1915,25,1,19,1914,21,8,24,1901,20,2,24,1913,25,0
2,20,1916,19,1,17,1914,21,7,28,1903,27,2,27,1913,22,0
2,26,1915,18,1,19,1914,20,8,24,1904,25,2,13,1913,24,0
2,22,1915,20,1,11,1914,20,5,24,1906,27,1,19,1913,16,0
2,22,1915,17,1,12,1914,23,8,25,1906,21,1,23,1914,22,0
2,28,1915,19,1,26,1915,22,6,22,1908,23,1,15,1913,23,0
1,26,1915,24,1,13,1914,23,10,22,1908,21,2,24,1914,22,0
1,23,1915,21,1,23,1915,22,6,21,1906,21,1,18,1913,23,0
2,26,1915,21,1,24,1916,23,7,20,1909,25,1,22,1914,24,0
1,28,1915,17,1,16,1915,21,6,24,1908,20,1,22,1914,20,0
1,17,1914,20,1,20,1915,21,7,25,1909,34,2,18,1914,22,0
2,18,1914,21,2,24,1915,25,10,27,1911,22,1,18,1914,20,0
1,21,1914,22,1,22,1915,23,6,26,1911,22,2,19,1913,20,0
1,21,1914,21,1,16,1914,22,8,25,1911,24,2,17,1914,23,0
1,24,1914,21,1,14,1914,26,6,26,1913,22,2,15,1914,21,0
1,16,1914,21,1,21,1915,20,10,30,1913,21,1,20,1914,23,0
1,14,1914,22,1,23,1915,18,5,18,1911,24,2,16,1914,21,0
2,32,1915,21,1,23,1915,20,9,20,1914,19,1,20,1914,24,0
2,23,1915,20,1,18,1915,20,5,27,1915,24,1,16,1913,17,0
1,23,1915,24,1,18,1914,20,7,28,1916,24,2,18,1913,20,0
2,28,1915,20,1,9,1914,24,6,31,1917,24,2,23,1914,23,0
1,24,1915,22,1,25,1915,20,6,22,1916,27,1,22,1914,19,0
2,20,1916,23,1,12,1914,22,9,27,1919,19,1,23,1914,18,0
2,24,1916,23,1,14,1914,21,7,28,1919,19,2,17,1913,20,0
2,22,1916,24,1,7,1914,18,5,25,1918,23,1,19,1914,19,0
1,24,1915,18,1,26,1915,21,7,19,1917,25,2,18,1914,20,0
2,29,1915,23,1,20,1914,25,8,23,1919,23,2,19,1914,24,0
1,24,1915,22,1,10,1914,21,6,28,1918,24,2,21,1914,22,0
1,13,1914,20,1,14,1914,18,7,19,1917,23,2,12,1913,17,0
1,17,1914,17,1,12,1914,23,8,28,1916,27,2,24,1913,20,0
1,20,1914,24,1,10,1914,19,7,24,1918,28,2,27,1915,21,0
1,10,1914,22,1,22,1915,27,7,28,1916,21,2,23,1915,19,0
1,20,1914,21,1,17,1914,19,6,22,1917,25,2,23,1916,20,0
1,18,1914,19,1,17,1913,22,9,27,1917,25,2,19,1915,23,0
2,17,1913,26,1,14,1915,22,5,24,1918,25,2,19,1914,22,0
1,14,1912,21,1,21,1916,22,10,25,1916,22,1,21,1913,22,0
1,19,1914,21,2,21,1917,24,5,20,1913,23,1,25,1913,19,0
1,19,1913,19,1,22,1916,22,9,32,1914,26,1,15,1912,21,0
