4,23,1914,21,2,21,1919,22,9,25,1919,27,6,29,1914,20,3
4,23,1916,20,2,14,1919,24,7,20,1918,26,7,29,1916,17,3
5,26,1918,21,2,14,1918,20,6,19,1917,24,7,20,1913,15,3
4,22,1917,26,2,20,1918,23,7,21,1917,27,5,28,1916,19,3
4,28,1917,20,1,20,1917,22,7,23,1917,20,6,24,1914,17,3
3,18,1916,25,2,19,1916,23,8,23,1915,21,6,24,1917,22,3
3,20,1915,21,2,27,1917,23,7,21,1919,23,6,23,1918,23,3
5,26,1914,17,1,16,1916,17,7,22,1918,26,5,23,1917,22,3
3,25,1912,23,1,20,1917,20,8,25,1919,23,8,21,1917,21,3
5,19,1912,22,2,21,1918,22,6,23,1918,24,6,24,1916,20,3
5,26,1914,22,2,21,1919,23,9,26,1919,24,7,27,1917,20,3
4,18,1914,19,1,20,1919,21,7,28,1918,27,8,26,1916,22,3
4,26,1914,26,1,17,1919,18,8,24,1917,24,8,27,1916,26,3
3,25,1914,22,1,17,1919,23,9,22,1917,26,4,20,1916,19,3
4,25,1914,20,1,18,1918,19,7,24,1917,22,6,22,1917,20,3
4,27,1912,24,2,26,1918,22,8,29,1918,28,8,22,1917,21,3
5,15,1910,27,1,15,1917,21,6,28,1920,27,9,27,1914,22,3
6,21,1912,19,2,20,1917,18,7,15,1919,27,7,24,1916,21,3
7,28,1913,24,1,27,1918,20,9,24,1920,23,7,25,1917,19,3
4,26,1912,20,1,22,1918,19,8,25,1920,27,4,21,1915,19,3
5,28,1912,20,1,12,1917,19,8,27,1918,23,7,19,1915,20,3
6,28,1913,21,1,27,1918,19,10,28,1920,24,7,28,1916,19,3
4,29,1912,23,1,19,1919,20,9,20,1919,24,6,25,1916,21,3
5,21,1913,22,2,18,1917,22,7,22,1918,25,6,25,1915,21,3
6,22,1912,21,2,25,1918,22,11,23,1919,25,5,24,1916,18,3
3,21,1914,23,2,21,1918,25,6,23,1919,21,7,24,1917,19,3
4,22,1913,22,2,24,1918,23,9,24,1921,29,5,24,1916,23,3
4,19,1913,22,1,18,1918,22,7,25,1920,23,6,23,1917,19,3
4,21,1915,20,1,17,1918,20,8,20,1918,23,6,30,1918,18,3
3,20,1913,22,1,15,1918,21,7,23,1919,22,7,25,1916,24,3
5,27,1913,23,1,12,1918,18,8,22,1918,21,4,22,1915,21,3
4,21,1913,22,1,13,1919,22,9,25,1918,24,9,27,1916,20,3
3,20,1913,22,1,22,1918,20,7,26,1919,22,7,32,1917,19,3
5,20,1913,19,1,15,1918,22,9,23,1917,25,8,28,1916,21,3
6,25,1914,22,1,17,1919,19,9,24,1918,25,5,20,1917,18,3
3,19,1913,21,1,16,1918,19,9,23,1918,28,5,22,1916,22,3
